"Course Career","Term","Course Type","Code","Description","Sect","Status","Meeting Type","Start Date","End Date","Day(s)","Start Time","End Time","Venue","Instructor(s)"
"Undergraduate","2020-21 Term 2","COURSE","COMM120","Intercultural Communication","G1","Enrolled","CLASS","11-Jan-2021","18-Apr-2021","Mon","12:00","15:15","LKCSB Seminar Rm 3.1","ONG SIOW HENG"
"Undergraduate","2020-21 Term 2","COURSE","MKTG204","Services Marketing","G1","Enrolled","CLASS","11-Jan-2021","18-Apr-2021","Thu","08:15","11:30","LKCSB Seminar Rm 3.3","PATRICIA LUI"
"Undergraduate","2020-21 Term 2","COURSE","COR-THAI2403","Thai","G1","Enrolled","CLASS","11-Jan-2021","18-Apr-2021","Thu","12:00","15:15","SOA Seminar Rm 2-4","SUKSRI LUMPRASERT"
"Undergraduate","2020-21 Term 2","COURSE","MKTG217","Strategic Brand Management (SMU-X)","G2","Enrolled","CLASS","11-Jan-2021","18-Apr-2021","Mon","08:15","11:30","LKCSB Seminar Rm 2.3","JORG DIETZEL"
"Undergraduate","2020-21 Term 2","COURSE","MKTG217","Strategic Brand Management (SMU-X)","G2","Enrolled","EXAM","29-Apr-2021","29-Apr-2021","Thu","13:00","15:00","",""
